Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
106,Kurnool,Adoni,Cotton,Bunny,FAQ,4306,6989,6795,20-Dec-23
212,Kurnool,Adoni,Cotton,Bunny,FAQ,4688,6951,6759,21-Dec-23
100,Kurnool,Adoni,Cotton,Bunny,FAQ,4280,6931,6759,22-Dec-23
266,Kurnool,Adoni,Cotton,Bunny,FAQ,4860,6966,6769,23-Dec-23
115,Kurnool,Adoni,Cotton,Bunny,FAQ,4319,7012,6889,26-Dec-23
293,Kurnool,Adoni,Cotton,Bunny,FAQ,4889,7029,6869,27-Dec-23
227,Kurnool,Adoni,Cotton,Bunny,FAQ,4711,7051,6859,28-Dec-23
240,Kurnool,Adoni,Cotton,Bunny,FAQ,4787,7099,6869,29-Dec-23
231,Kurnool,Adoni,Cotton,Bunny,FAQ,4719,7120,6900,02-Jan-24
369,Kurnool,Adoni,Cotton,Bunny,FAQ,5206,7161,6921,03-Jan-24
499,Kurnool,Adoni,Cotton,Bunny,FAQ,5509,7209,6979,04-Jan-24
363,Kurnool,Adoni,Cotton,Bunny,FAQ,5188,7209,6989,05-Jan-24
154,Kurnool,Adoni,Cotton,Bunny,FAQ,4505,7199,6981,06-Jan-24
219,Kurnool,Adoni,Cotton,Bunny,FAQ,4699,7200,6998,08-Jan-24
358,Kurnool,Adoni,Cotton,Bunny,FAQ,5168,7160,6981,09-Jan-24
283,Kurnool,Adoni,Cotton,Bunny,FAQ,4869,7145,6959,10-Jan-24
325,Kurnool,Adoni,Cotton,Bunny,FAQ,5009,7098,6889,12-Jan-24
453,Kurnool,Adoni,Cotton,Bunny,FAQ,5409,7150,6900,13-Jan-24
376,Kurnool,Adoni,Cotton,Bunny,FAQ,5229,7139,6900,17-Jan-24
374,Kurnool,Adoni,Cotton,Bunny,FAQ,5216,7135,6899,18-Jan-24
202,Kurnool,Adoni,Cotton,Bunny,FAQ,4667,7137,6989,19-Jan-24
404,Kurnool,Adoni,Cotton,Bunny,FAQ,5308,7056,6849,20-Jan-24
251,Kurnool,Adoni,Cotton,Bunny,FAQ,4809,7161,6969,23-Jan-24
224,Kurnool,Adoni,Cotton,Bunny,FAQ,4709,7099,6939,24-Jan-24
206,Kurnool,Adoni,Cotton,Bunny,FAQ,4677,7149,6981,25-Jan-24
299,Kurnool,Adoni,Cotton,Bunny,FAQ,4897,7060,6889,27-Jan-24
260,Kurnool,Adoni,Cotton,Bunny,FAQ,4826,7065,6911,29-Jan-24
213,Kurnool,Adoni,Cotton,Bunny,FAQ,4688,6969,6759,30-Jan-24
188,Kurnool,Adoni,Cotton,Bunny,FAQ,4606,7029,6779,31-Jan-24
155,Kurnool,Adoni,Cotton,Bunny,FAQ,4506,7010,6759,01-Feb-24
223,Kurnool,Adoni,Cotton,Bunny,FAQ,4706,7039,6769,02-Feb-24
290,Kurnool,Adoni,Cotton,Bunny,FAQ,4880,7069,6780,03-Feb-24
167,Kurnool,Adoni,Cotton,Bunny,FAQ,4519,7059,6769,05-Feb-24
191,Kurnool,Adoni,Cotton,Bunny,FAQ,4608,7069,6759,06-Feb-24
122,Kurnool,Adoni,Cotton,Bunny,FAQ,4368,7059,6789,07-Feb-24
110,Kurnool,Adoni,Cotton,Bunny,FAQ,4309,7079,6759,08-Feb-24
215,Kurnool,Adoni,Cotton,Bunny,FAQ,4689,7127,6869,10-Feb-24
273,Kurnool,Adoni,Cotton,Bunny,FAQ,4867,7195,6899,12-Feb-24
405,Kurnool,Adoni,Cotton,Bunny,FAQ,5308,7120,6889,13-Feb-24
327,Kurnool,Adoni,Cotton,Bunny,FAQ,5019,7169,6889,14-Feb-24
366,Kurnool,Adoni,Cotton,Bunny,FAQ,5190,7290,6900,15-Feb-24
147,Kurnool,Adoni,Cotton,Bunny,FAQ,4500,7351,7180,16-Feb-24
192,Kurnool,Adoni,Cotton,Bunny,FAQ,4609,7389,7179,17-Feb-24
386,Kurnool,Adoni,Cotton,Bunny,FAQ,5266,7461,7001,19-Feb-24
211,Kurnool,Adoni,Cotton,Bunny,FAQ,4687,7419,6969,20-Feb-24
300,Kurnool,Adoni,Cotton,Bunny,FAQ,4900,7361,6765,21-Feb-24
409,Kurnool,Adoni,Cotton,Bunny,FAQ,5318,7460,7280,22-Feb-24
204,Kurnool,Adoni,Cotton,Bunny,FAQ,4667,7452,6900,23-Feb-24
334,Kurnool,Adoni,Cotton,Bunny,FAQ,5067,7457,6880,24-Feb-24
277,Kurnool,Adoni,Cotton,Bunny,FAQ,4867,7470,7000,26-Feb-24
440,Kurnool,Adoni,Cotton,Bunny,FAQ,5389,7679,7199,27-Feb-24
337,Kurnool,Adoni,Cotton,Bunny,FAQ,5067,7862,7459,28-Feb-24
469,Kurnool,Adoni,Cotton,Bunny,FAQ,5467,7849,7411,29-Feb-24
201,Kurnool,Adoni,Cotton,Bunny,FAQ,4666,7829,7459,01-Mar-24
406,Kurnool,Adoni,Cotton,Bunny,FAQ,5309,7794,7261,02-Mar-24
199,Kurnool,Adoni,Cotton,Bunny,FAQ,4660,7769,7389,04-Mar-24
468,Kurnool,Adoni,Cotton,Bunny,FAQ,5467,7789,7209,05-Mar-24
280,Kurnool,Adoni,Cotton,Bunny,FAQ,4867,7777,7569,06-Mar-24
200,Kurnool,Adoni,Cotton,Bunny,FAQ,4665,7799,7469,07-Mar-24
330,Kurnool,Adoni,Cotton,Bunny,FAQ,5028,8029,7569,12-Mar-24
547,Kurnool,Adoni,Cotton,Bunny,FAQ,5667,8089,7559,13-Mar-24
281,Kurnool,Adoni,Cotton,Bunny,FAQ,4867,8100,7659,14-Mar-24
546,Kurnool,Adoni,Cotton,Bunny,FAQ,5667,8069,7749,15-Mar-24
345,Kurnool,Adoni,Cotton,Bunny,FAQ,5089,8071,7589,16-Mar-24
169,Kurnool,Adoni,Cotton,Bunny,FAQ,4520,8079,7569,18-Mar-24
180,Kurnool,Adoni,Cotton,Bunny,FAQ,4579,7979,7569,19-Mar-24
316,Kurnool,Adoni,Cotton,Bunny,FAQ,5000,7989,7460,20-Mar-24
186,Kurnool,Adoni,Cotton,Bunny,FAQ,4589,7929,7489,21-Mar-24
461,Kurnool,Adoni,Cotton,Bunny,FAQ,5439,7839,7569,26-Mar-24
396,Kurnool,Adoni,Cotton,Bunny,FAQ,5287,7869,7506,27-Mar-24
292,Kurnool,Adoni,Cotton,Bunny,FAQ,4880,7849,7459,28-Mar-24
430,Kurnool,Adoni,Cotton,Bunny,FAQ,5370,7868,7481,30-Mar-24
564,Kurnool,Adoni,Cotton,Bunny,FAQ,5708,7956,7569,01-Apr-24
523,Kurnool,Adoni,Cotton,Bunny,FAQ,5587,7992,7475,03-Apr-24
351,Kurnool,Adoni,Cotton,Bunny,FAQ,5099,7979,7711,04-Apr-24
373,Kurnool,Adoni,Cotton,Bunny,FAQ,5211,7855,7489,06-Apr-24
53,Kurnool,Adoni,Cotton,Bunny,FAQ,4007,7669,7519,12-Apr-24
389,Kurnool,Adoni,Cotton,Bunny,FAQ,5267,7717,7269,16-Apr-24
304,Kurnool,Adoni,Cotton,Bunny,FAQ,4909,7569,7389,19-Apr-24
309,Kurnool,Adoni,Cotton,Bunny,FAQ,4967,7610,7369,20-Apr-24
335,Kurnool,Adoni,Cotton,Bunny,FAQ,5067,7620,7416,22-Apr-24
298,Kurnool,Adoni,Cotton,Bunny,FAQ,4889,7619,7231,25-Apr-24
467,Kurnool,Adoni,Cotton,Bunny,FAQ,5467,7633,7429,26-Apr-24
486,Kurnool,Adoni,Cotton,Bunny,FAQ,5479,7667,7419,27-Apr-24
370,Kurnool,Adoni,Cotton,Bunny,FAQ,5207,7736,7426,29-Apr-24
569,Kurnool,Adoni,Cotton,Bunny,FAQ,5747,7689,7449,30-Apr-24
228,Kurnool,Adoni,Cotton,Bunny,FAQ,4711,7587,7269,02-May-24
308,Kurnool,Adoni,Cotton,Bunny,FAQ,4936,7525,7340,03-May-24
459,Kurnool,Adoni,Cotton,Bunny,FAQ,5429,7459,7259,04-May-24
329,Kurnool,Adoni,Cotton,Bunny,FAQ,5020,7530,7380,06-May-24
195,Kurnool,Adoni,Cotton,Bunny,FAQ,4627,7560,7429,07-May-24
359,Kurnool,Adoni,Cotton,Bunny,FAQ,5169,7579,7389,09-May-24
103,Kurnool,Adoni,Cotton,Bunny,FAQ,4287,7389,7260,11-May-24
450,Kurnool,Adoni,Cotton,Bunny,FAQ,5407,7171,6720,14-May-24
315,Kurnool,Adoni,Cotton,Bunny,FAQ,5000,7489,7269,15-May-24
400,Kurnool,Adoni,Cotton,Bunny,FAQ,5290,7490,7239,16-May-24
318,Kurnool,Adoni,Cotton,Bunny,FAQ,5001,7479,7279,17-May-24
314,Kurnool,Adoni,Cotton,Bunny,FAQ,5000,7489,7259,18-May-24
302,Kurnool,Adoni,Cotton,Bunny,FAQ,4906,7510,7379,20-May-24
241,Kurnool,Adoni,Cotton,Bunny,FAQ,4787,7539,7439,21-May-24
465,Kurnool,Adoni,Cotton,Bunny,FAQ,5459,7519,7267,22-May-24
182,Kurnool,Adoni,Cotton,Bunny,FAQ,4587,7655,7379,23-May-24
511,Kurnool,Adoni,Cotton,Bunny,FAQ,5555,7659,7459,24-May-24
592,Kurnool,Adoni,Cotton,Bunny,FAQ,5907,7559,7269,25-May-24
614,Kurnool,Adoni,Cotton,Bunny,FAQ,6009,7649,7389,27-May-24
47,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7619,7369,28-May-24
8,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7652,7329,29-May-24
42,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7575,7389,31-May-24
36,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7529,7364,01-Jun-24
39,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7559,7389,03-Jun-24
583,Kurnool,Adoni,Cotton,Bunny,FAQ,5859,7471,7370,05-Jun-24
40,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7567,7309,07-Jun-24
43,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7579,7399,08-Jun-24
44,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7589,7369,10-Jun-24
41,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7569,7389,11-Jun-24
255,Kurnool,Adoni,Cotton,Bunny,FAQ,4809,7579,7379,12-Jun-24
493,Kurnool,Adoni,Cotton,Bunny,FAQ,5500,7523,7329,13-Jun-24
46,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7595,7290,14-Jun-24
33,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7459,7211,15-Jun-24
32,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7456,7259,18-Jun-24
35,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7476,7259,19-Jun-24
37,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7539,7259,20-Jun-24
34,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7471,7219,21-Jun-24
38,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7542,7267,24-Jun-24
62,Kurnool,Adoni,Cotton,Bunny,FAQ,4059,7559,7309,25-Jun-24
194,Kurnool,Adoni,Cotton,Bunny,FAQ,4609,7609,7369,26-Jun-24
94,Kurnool,Adoni,Cotton,Bunny,FAQ,4212,7639,7319,27-Jun-24
66,Kurnool,Adoni,Cotton,Bunny,FAQ,4159,7649,7359,28-Jun-24
45,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7592,7269,29-Jun-24
4,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7614,7369,01-Jul-24
7,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7639,7369,02-Jul-24
15,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7672,7375,03-Jul-24
48,Kurnool,Adoni,Cotton,Bunny,FAQ,4002,7669,7346,04-Jul-24
54,Kurnool,Adoni,Cotton,Bunny,FAQ,4009,7676,7359,06-Jul-24
55,Kurnool,Adoni,Cotton,Bunny,FAQ,4009,7689,7339,08-Jul-24
24,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7692,7359,09-Jul-24
19,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7679,7379,10-Jul-24
67,Kurnool,Adoni,Cotton,Bunny,FAQ,4159,7719,7469,11-Jul-24
18,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7679,7369,12-Jul-24
11,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7659,7386,13-Jul-24
21,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7689,7344,15-Jul-24
52,Kurnool,Adoni,Cotton,Bunny,FAQ,4007,7599,7359,16-Jul-24
2,Kurnool,Adoni,Cotton,Bunny,FAQ,3960,7430,6800,18-Jul-24
58,Kurnool,Adoni,Cotton,Bunny,FAQ,4011,7611,7329,19-Jul-24
89,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7689,7351,20-Jul-24
20,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7682,7329,22-Jul-24
25,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7692,7379,23-Jul-24
10,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7659,7359,24-Jul-24
59,Kurnool,Adoni,Cotton,Bunny,FAQ,4011,7659,7329,25-Jul-24
13,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7660,7371,26-Jul-24
49,Kurnool,Adoni,Cotton,Bunny,FAQ,4006,7619,7359,27-Jul-24
17,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7679,7360,29-Jul-24
5,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7619,7400,30-Jul-24
12,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7659,7389,31-Jul-24
14,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7666,7379,01-Aug-24
9,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7655,7370,02-Aug-24
16,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7673,7369,03-Aug-24
23,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7689,7479,05-Aug-24
26,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7715,7419,06-Aug-24
27,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7720,7471,07-Aug-24
60,Kurnool,Adoni,Cotton,Bunny,FAQ,4011,7739,7429,08-Aug-24
51,Kurnool,Adoni,Cotton,Bunny,FAQ,4006,7739,7370,09-Aug-24
22,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7689,7429,10-Aug-24
28,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7739,7389,12-Aug-24
29,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7749,7419,13-Aug-24
30,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7756,7439,14-Aug-24
50,Kurnool,Adoni,Cotton,Bunny,FAQ,4006,7711,7424,16-Aug-24
6,Kurnool,Adoni,Cotton,Bunny,FAQ,4000,7629,7380,19-Aug-24
61,Kurnool,Adoni,Cotton,Bunny,FAQ,4011,7769,7469,20-Aug-24
70,Kurnool,Adoni,Cotton,Bunny,FAQ,4181,7799,7429,21-Aug-24
63,Kurnool,Adoni,Cotton,Bunny,FAQ,4110,7789,7477,22-Aug-24
92,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7839,7557,23-Aug-24
91,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7789,7535,24-Aug-24
68,Kurnool,Adoni,Cotton,Bunny,FAQ,4159,7899,7467,27-Aug-24
71,Kurnool,Adoni,Cotton,Bunny,FAQ,4181,7939,7480,28-Aug-24
72,Kurnool,Adoni,Cotton,Bunny,FAQ,4181,7952,7499,29-Aug-24
93,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,8015,7449,30-Aug-24
73,Kurnool,Adoni,Cotton,Bunny,FAQ,4181,7993,7469,31-Aug-24
65,Kurnool,Adoni,Cotton,Bunny,FAQ,4112,8079,7777,03-Sep-24
179,Kurnool,Adoni,Cotton,Bunny,FAQ,4569,8125,7559,04-Sep-24
150,Kurnool,Adoni,Cotton,Bunny,FAQ,4500,8188,7569,05-Sep-24
317,Kurnool,Adoni,Cotton,Bunny,FAQ,5000,8255,7600,06-Sep-24
153,Kurnool,Adoni,Cotton,Bunny,FAQ,4500,8260,7589,09-Sep-24
117,Kurnool,Adoni,Cotton,Bunny,FAQ,4319,8239,7499,10-Sep-24
132,Kurnool,Adoni,Cotton,Bunny,FAQ,4409,8219,7486,12-Sep-24
139,Kurnool,Adoni,Cotton,Bunny,FAQ,4480,8219,7599,13-Sep-24
152,Kurnool,Adoni,Cotton,Bunny,FAQ,4500,8257,7527,14-Sep-24
151,Kurnool,Adoni,Cotton,Bunny,FAQ,4500,8219,7589,17-Sep-24
166,Kurnool,Adoni,Cotton,Bunny,FAQ,4516,8249,7680,18-Sep-24
162,Kurnool,Adoni,Cotton,Bunny,FAQ,4511,8229,7675,19-Sep-24
143,Kurnool,Adoni,Cotton,Bunny,FAQ,4489,8139,7769,20-Sep-24
90,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7769,7479,23-Sep-24
96,Kurnool,Adoni,Cotton,Bunny,FAQ,4216,7625,7489,24-Sep-24
84,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7561,7389,25-Sep-24
83,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7531,7349,26-Sep-24
86,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7579,7389,27-Sep-24
88,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7621,7419,28-Sep-24
137,Kurnool,Adoni,Cotton,Bunny,FAQ,4469,7677,7469,30-Sep-24
111,Kurnool,Adoni,Cotton,Bunny,FAQ,4309,7635,7389,01-Oct-24
87,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7597,7389,03-Oct-24
95,Kurnool,Adoni,Cotton,Bunny,FAQ,4216,7555,7360,04-Oct-24
101,Kurnool,Adoni,Cotton,Bunny,FAQ,4280,7680,7479,07-Oct-24
130,Kurnool,Adoni,Cotton,Bunny,FAQ,4400,7669,7439,08-Oct-24
107,Kurnool,Adoni,Cotton,Bunny,FAQ,4306,7699,7429,09-Oct-24
82,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7519,7379,14-Oct-24
85,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7569,7329,15-Oct-24
105,Kurnool,Adoni,Cotton,Bunny,FAQ,4290,7591,7389,16-Oct-24
128,Kurnool,Adoni,Cotton,Bunny,FAQ,4390,7651,7389,18-Oct-24
112,Kurnool,Adoni,Cotton,Bunny,FAQ,4309,7678,7389,19-Oct-24
354,Kurnool,Adoni,Cotton,Bunny,FAQ,5109,7789,7359,21-Oct-24
190,Kurnool,Adoni,Cotton,Bunny,FAQ,4607,7551,7369,22-Oct-24
178,Kurnool,Adoni,Cotton,Bunny,FAQ,4569,7539,7372,24-Oct-24
232,Kurnool,Adoni,Cotton,Bunny,FAQ,4719,7569,7375,25-Oct-24
104,Kurnool,Adoni,Cotton,Bunny,FAQ,4289,7389,7189,26-Oct-24
76,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7220,6889,28-Oct-24
56,Kurnool,Adoni,Cotton,Bunny,FAQ,4011,7226,6989,29-Oct-24
127,Kurnool,Adoni,Cotton,Bunny,FAQ,4389,7300,7119,30-Oct-24
149,Kurnool,Adoni,Cotton,Bunny,FAQ,4500,7389,7160,04-Nov-24
64,Kurnool,Adoni,Cotton,Bunny,FAQ,4111,7431,7219,05-Nov-24
81,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7399,7199,06-Nov-24
79,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7389,7199,07-Nov-24
57,Kurnool,Adoni,Cotton,Bunny,FAQ,4011,7414,7209,08-Nov-24
328,Kurnool,Adoni,Cotton,Bunny,FAQ,5019,7390,7200,09-Nov-24
80,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7392,7119,11-Nov-24
78,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7350,7169,12-Nov-24
69,Kurnool,Adoni,Cotton,Bunny,FAQ,4181,7258,7099,13-Nov-24
114,Kurnool,Adoni,Cotton,Bunny,FAQ,4316,7146,7029,14-Nov-24
3,Kurnool,Adoni,Cotton,Bunny,FAQ,3961,7060,6890,20-Nov-24
31,Kurnool,Adoni,Cotton,Bunny,FAQ,4001,7125,6889,21-Nov-24
138,Kurnool,Adoni,Cotton,Bunny,FAQ,4480,7229,7069,22-Nov-24
77,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7249,7089,23-Nov-24
187,Kurnool,Adoni,Cotton,Bunny,FAQ,4599,7308,7148,25-Nov-24
198,Kurnool,Adoni,Cotton,Bunny,FAQ,4660,7319,7159,26-Nov-24
177,Kurnool,Adoni,Cotton,Bunny,FAQ,4569,7339,7169,27-Nov-24
419,Kurnool,Adoni,Cotton,Bunny,FAQ,5366,7349,7179,28-Nov-24
148,Kurnool,Adoni,Cotton,Bunny,FAQ,4500,7352,7169,29-Nov-24
173,Kurnool,Adoni,Cotton,Bunny,FAQ,4561,7279,7069,03-Dec-24
401,Kurnool,Adoni,Cotton,Bunny,FAQ,5293,7263,7089,04-Dec-24
247,Kurnool,Adoni,Cotton,Bunny,FAQ,4800,7249,7089,05-Dec-24
291,Kurnool,Adoni,Cotton,Bunny,FAQ,4880,7199,6989,06-Dec-24
108,Kurnool,Adoni,Cotton,Bunny,FAQ,4307,7189,7089,07-Dec-24
75,Kurnool,Adoni,Cotton,Bunny,FAQ,4211,7199,7059,09-Dec-24
205,Kurnool,Adoni,Cotton,Bunny,FAQ,4669,7199,7069,10-Dec-24
434,Kurnool,Adoni,Cotton,Bunny,FAQ,5378,7200,7094,11-Dec-24
458,Kurnool,Adoni,Cotton,Bunny,FAQ,5420,7228,7089,13-Dec-24
109,Kurnool,Adoni,Cotton,Bunny,FAQ,4307,7225,7089,14-Dec-24
229,Kurnool,Adoni,Cotton,Bunny,FAQ,4716,7234,7097,16-Dec-24
120,Kurnool,Adoni,Cotton,Bunny,FAQ,4360,7234,7089,17-Dec-24
435,Kurnool,Adoni,Cotton,Bunny,FAQ,5380,7198,7056,18-Dec-24
321,Kurnool,Adoni,Cotton,Bunny,FAQ,5006,7218,7069,20-Dec-24
216,Kurnool,Adoni,Cotton,Bunny,FAQ,4689,7219,7083,21-Dec-24
303,Kurnool,Adoni,Cotton,Bunny,FAQ,4908,7219,7089,23-Dec-24
452,Kurnool,Adoni,Cotton,Bunny,FAQ,5408,7220,7089,24-Dec-24
310,Kurnool,Adoni,Cotton,Bunny,FAQ,4989,7272,7149,26-Dec-24
313,Kurnool,Adoni,Cotton,Bunny,FAQ,5000,7285,7151,27-Dec-24
561,Kurnool,Adoni,Cotton,Bunny,FAQ,5700,7272,7079,28-Dec-24
